ID_REF,VALUE
100652888_at,3.5363
100652898_at,11.975
100652904_at,3.8637
100652911_at,3.6842
100652912_at,4.9568
100652917_at,3.4918
100652929_at,4.0348
100652931_at,4.2547
100652950_at,7.1518
100652951_at,4.1648
100652952_at,4.661
100652954_at,3.5733
100652965_at,4.1017
100652972_at,4.3156
100652980_at,4.5373
100652994_at,3.7462
100652995_at,3.7799
100652996_at,3.3336
100652999_at,3.9576
100653004_at,8.6991
100653010_at,3.9657
100653021_at,8.0444
100653022_at,4.195
10066_at,9.5082
10067_at,9.2606
10068_at,5.3758
10069_at,8.9626
1007_at,3.9294
10071_at,3.6661
10072_at,9.1115
10073_at,9.0721
10075_at,5.5086
10076_at,7.2827
10077_at,4.3034
10078_at,6.8345
10079_at,9.7401
1008_at,4.3723
10081_at,9.731
10082_at,4.3003
10083_at,4.725
10084_at,8.6632
10085_at,3.8868
10086_at,4.2331
10087_at,8.0921
10089_at,3.926
1009_at,4.1637
10090_at,5.6106
10092_at,10.604
10093_at,7.3034
10095_at,9.8016
10096_at,12.005
10097_at,10.553
10098_at,5.9459
10099_at,10.25
101_at,4.5953
1010_at,3.6684
10100_at,5.2189
10101_at,8.2453
10102_at,6.8398
10103_at,11.975
10105_at,8.7239
10106_at,7.223
10107_at,3.9535
10109_at,12.617
10110_at,4.5052
10111_at,6.464
10112_at,10.025
10113_at,8.3673
10114_at,5.3583
10116_at,7.8721
10117_at,3.7678
1012_at,9.0302
10120_at,8.7863
10121_at,8.1424
10123_at,7.9483
10125_at,3.7618
10126_at,7.2726
10127_at,8.313
10128_at,9.6944
10129_at,4.0017
1013_at,4.2051
10130_at,12.893
10131_at,9.854
10133_at,9.4802
10134_at,12.795
10135_at,9.2869
10136_at,4.8953
10137_at,9.0418
10138_at,6.6171
10139_at,5.6603
1014_at,3.5781
10140_at,10.418
10141_at,3.9624
10142_at,9.6797
10143_at,3.8422
10144_at,6.0164
10146_at,9.2926
10147_at,7.344
10148_at,5.489
10149_at,4.0767
1015_at,4.3991
10150_at,8.8353
10151_at,3.6536
10152_at,8.6828
10153_at,11.102
10154_at,5.6185
10155_at,9.5893
10157_at,4.5545
10158_at,4.6227
10159_at,11.63
1016_at,4.2225
10160_at,7.5732
10161_at,6.8428
10162_at,7.4462
10163_at,8.5447
10164_at,4.7154
10165_at,7.4114
10166_at,5.5372
10168_at,5.0266
10169_at,8.2292
1017_at,8.8948
10170_at,4.2406
10171_at,7.8382
10172_at,7.1114
10174_at,5.4985
10175_at,12.26
