ID_REF,VALUE,Description
10060_at,3.64,"ATP-binding cassette, sub-family C (CFTR/MRP), member 9"
100628307_at,3.7577,uncharacterized LOC100628307
100628315_at,3.5437,DNM3 opposite strand/antisense RNA (non-protein coding)
100652791_at,3.2503,uncharacterized LOC100652791
100652798_at,3.3646,uncharacterized LOC100652798
100652824_at,3.772,uncharacterized LOC100652824
100652825_at,3.9502,uncharacterized LOC100652825
100652856_at,3.3092,uncharacterized LOC100652856
100652860_at,3.2842,tetratricopeptide repeat protein 6-like
100652888_at,3.5363,NA
100652904_at,3.8637,uncharacterized LOC100652904
100652911_at,3.6842,uncharacterized LOC100652911
100652917_at,3.4918,uncharacterized LOC100652917
100652954_at,3.5733,uncharacterized LOC100652954
100652994_at,3.7462,uncharacterized LOC100652994
100652995_at,3.7799,uncharacterized LOC100652995
100652996_at,3.3336,uncharacterized LOC100652996
100652999_at,3.9576,uncharacterized LOC100652999
100653010_at,3.9657,uncharacterized LOC100653010
1007_at,3.9294,"9, type 2 (T1-cadherin)"
10071_at,3.6661,"mucin 12, cell surface associated"
10085_at,3.8868,EGF-like repeats and discoidin I-like domains 3
10089_at,3.926,"potassium channel, subfamily K, member 7"
1010_at,3.6684,"12, type 2 (N-cadherin 2)"
10107_at,3.9535,tripartite motif containing 10
10117_at,3.7678,enamelin
10125_at,3.7618,RAS guanyl releasing protein 1 (calcium and DAG-regulated)
1014_at,3.5781,"16, KSP-cadherin"
10141_at,3.9624,chromosome 4 open reading frame 6
10143_at,3.8422,"C-type lectin domain family 3, member A"
10151_at,3.6536,heterogeneous nuclear ribonucleoprotein A3 pseudogene 1
10178_at,3.4586,"odz, odd Oz/ten-m homolog 1 (Drosophila)"
10203_at,3.9675,calcitonin receptor-like
10215_at,3.7207,oligodendrocyte lineage transcription factor 2
10216_at,3.7495,proteoglycan 4
10218_at,3.6515,angiopoietin-like 7
10225_at,3.783,CD96 molecule
10231_at,3.697,regulator of calcineurin 2
10242_at,3.9125,"potassium large conductance calcium-activated channel, subfamily M, beta member 2"
10249_at,3.6945,glycine-N-acyltransferase
10251_at,3.5309,sprouty homolog 3 (Drosophila)
10261_at,3.3575,"immunoglobulin superfamily, member 6"
10288_at,3.443,"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2"
1030_at,3.4936,"kinase inhibitor 2B (p15, inhibits CDK4)"
10316_at,3.7039,neuromedin U receptor 1
10317_at,3.6179,"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 5"
10320_at,3.6927,IKAROS family zinc finger 1 (Ikaros)
10321_at,3.6066,cysteine-rich secretory protein 3
