ID_REF,VALUE,Description
57152_at,3.5347,secreted LY6/PLAUR domain containing 1
57159_at,3.8417,tripartite motif containing 54
57172_at,3.9033,calcium/calmodulin-dependent protein kinase IG
5729_at,3.4854,D2 receptor (DP)
5732_at,3.9787,"E receptor 2 (subtype EP2), 53kDa"
5733_at,3.7332,E receptor 3 (subtype EP3)
5737_at,3.7421,F receptor (FP)
57379_at,3.5891,activation-induced cytidine deaminase
57381_at,3.7325,"ras homolog gene family, member J"
57408_at,3.3553,leucine-rich repeats and transmembrane domains 1
5741_at,3.4006,hormone
5745_at,3.8377,hormone 1 receptor
57452_at,3.8978,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 1
57453_at,3.889,Down syndrome cell adhesion molecule like 1
574538_at,3.7632,uncharacterized LOC574538
57462_at,3.925,KIAA1161
57467_at,3.8248,hedgehog acyltransferase-like
57471_at,3.9793,"ermin, ERM-like protein"
57481_at,3.5709,KIAA1210
57495_at,3.4055,KIAA1239
57497_at,3.4627,leucine rich repeat and fibronectin type III domain containing 2
575_at,3.7742,brain-specific angiogenesis inhibitor 1
57502_at,3.6694,"neuroligin 4, X-linked"
57520_at,3.9098,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2"
57528_at,3.848,potassium channel tetramerisation domain containing 16
57554_at,3.4514,leucine rich repeat containing 7
57565_at,3.7296,kelch-like 14 (Drosophila)
57573_at,3.6388,zinc finger protein 471
57575_at,3.9121,protocadherin 10
57582_at,3.7904,"potassium channel, subfamily T, member 1"
57604_at,3.8446,KIAA1456
57624_at,3.7775,neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 2
57626_at,3.6857,kelch-like 1 (Drosophila)
57628_at,3.3613,dipeptidyl-peptidase 10 (non-functional)
57631_at,3.4275,leucine-rich repeats and calponin homology (CH) domain containing 2
57633_at,3.7379,leucine rich repeat neuronal 1
5764_at,3.8089,
57644_at,3.9017,"myosin, heavy chain 7B, cardiac muscle, beta"
57663_at,3.8955,ubiquitin specific peptidase 29
57699_at,3.9208,copine V
577_at,3.3779,brain-specific angiogenesis inhibitor 3
57705_at,3.7694,WDFY family member 4
57709_at,3.6429,"solute carrier family 7 (orphan transporter), member 14"
57717_at,3.6351,protocadherin beta 16
57733_at,3.6139,"glucosidase, beta, acid 3 (cytosolic)"
57795_at,3.8532,"family with sequence similarity 5, member B"
57817_at,3.9018,hepcidin antimicrobial peptide
57821_at,3.574,chromosome 1 open reading frame 114
57824_at,3.5406,histocompatibility (minor) HB-1
57828_at,3.9371,"cation channel, sperm-associated, gamma"
57829_at,3.741,zona pellucida glycoprotein 4
57864_at,3.6111,"solute carrier family 46, member 2"
5788_at,3.4329,"tyrosine phosphatase, receptor type, C"
5789_at,3.6723,"tyrosine phosphatase, receptor type, D"
5790_at,3.9579,"tyrosine phosphatase, receptor type, C-associated protein"
5793_at,3.9547,"tyrosine phosphatase, receptor type, G"
58_at,3.88,"actin, alpha 1, skeletal muscle"
5800_at,3.5718,"tyrosine phosphatase, receptor type, O"
5803_at,3.7104,"tyrosine phosphatase, receptor-type, Z polypeptide 1"
5816_at,3.5112,
58475_at,3.4534,"membrane-spanning 4-domains, subfamily A, member 7"
58483_at,3.8973,long intergenic non-protein coding RNA 474
58484_at,3.7398,"NLR family, CARD domain containing 4"
58510_at,3.8988,proline dehydrogenase (oxidase) 2
58511_at,3.7215,deoxyribonuclease II beta
58524_at,3.8539,doublesex and mab-3 related transcription factor 3
58530_at,3.5935,"lymphocyte antigen 6 complex, locus G6D"
58531_at,3.7204,protamine 3
58538_at,3.4283,"membrane protein, palmitoylated 4 (MAGUK p55 subfamily member 4)"
5897_at,3.3965,activating gene 2
590_at,3.751,butyrylcholinesterase
59067_at,3.9624,interleukin 21
59082_at,3.4098,"caspase recruitment domain family, member 18"
5913_at,3.489,protein of the synapse
59335_at,3.603,PR domain containing 12
59340_at,3.5331,histamine receptor H4
59350_at,3.617,relaxin/insulin-like family peptide receptor 1
59351_at,3.5801,prostate and breast cancer overexpressed 1
59353_at,3.6821,transmembrane protein 35
5948_at,3.8038,"binding protein 2, cellular"
5957_at,3.8063,
5968_at,3.8884,islet-derived 1 beta
5969_at,3.7867,islet-derived 1 pseudogene
597_at,3.3896,BCL2-related protein A1
5988_at,3.4768,finger protein-like 1
5992_at,3.2657,"factor X, 4 (influences HLA class II expression)"
5995_at,3.9518,G protein coupled receptor
5996_at,3.3659,of G-protein signaling 1
6000_at,3.6545,of G-protein signaling 7
6003_at,3.3018,of G-protein signaling 13
6005_at,3.8055,glycoprotein
6011_at,3.7981,protein-coupled receptor kinase 1
6014_at,3.7336,without CAAX 2
6017_at,3.8309,binding protein 1
6036_at,3.4516,"RNase A family, 2 (liver, eosinophil-derived neurotoxin)"
60385_at,3.4955,testis-specific serine kinase substrate
6039_at,3.5466,"RNase A family, k6"
60437_at,3.8317,cadherin 26
60467_at,3.3994,"blepharophimosis, epicanthus inversus and ptosis, candidate 1 (non-protein coding)"
60482_at,3.842,"solute carrier family 5 (choline transporter), member 7"
60506_at,3.9407,nyctalopin
60529_at,3.9077,ALX homeobox 4
606553_at,3.5107,chromosome 8 open reading frame 49
60675_at,3.5241,prokineticin 2
608_at,3.4993,"tumor necrosis factor receptor superfamily, member 17"
6091_at,3.9358,"axon guidance receptor, homolog 1 (Drosophila)"
6092_at,3.588,"axon guidance receptor, homolog 2 (Drosophila)"
6096_at,3.4846,orphan receptor B
6098_at,3.6763,"oncogene 1 , receptor tyrosine kinase"
610_at,3.9066,hyperpolarization activated cyclic nucleotide-gated potassium channel 2
6101_at,3.5409,pigmentosa 1 (autosomal dominant)
6121_at,3.3081,pigment epithelium-specific protein 65kDa
6123_at,3.7784,protein L3-like
613126_at,3.7147,uncharacterized LOC613126
613212_at,3.8138,cortexin 3
619434_at,3.4333,long intergenic non-protein coding RNA 51
6247_at,3.5428,1
6252_at,3.8068,1
6258_at,3.908,"X receptor, gamma"
6262_at,3.762,receptor 2 (cardiac)
6276_at,3.8719,calcium binding protein A5
6285_at,3.6223,calcium binding protein B
6290_at,3.2603,amyloid A3 pseudogene
6299_at,3.8517,1 (Drosophila)
63036_at,3.3647,"chymotrypsin-like elastase family, member 2A"
6315_at,3.7265,opposite strand (non-protein coding)
6317_at,3.4433,"peptidase inhibitor, clade B (ovalbumin), member 3"
6318_at,3.7424,"peptidase inhibitor, clade B (ovalbumin), member 4"
6323_at,3.4028,"channel, voltage-gated, type I, alpha subunit"
6326_at,3.387,"channel, voltage-gated, type II, alpha subunit"
6327_at,3.7708,"channel, voltage-gated, type II, beta"
6328_at,3.588,"channel, voltage-gated, type III, alpha subunit"
6329_at,3.921,"channel, voltage-gated, type IV, alpha subunit"
6330_at,3.6946,"channel, voltage-gated, type IV, beta"
6332_at,3.4869,"channel, voltage-gated, type VII, alpha"
6335_at,3.4772,"channel, voltage-gated, type IX, alpha subunit"
6338_at,3.9219,"channel, nonvoltage-gated 1, beta"
6340_at,3.4854,"channel, nonvoltage-gated 1, gamma"
6343_at,3.2865,
6344_at,3.8388,receptor
6346_at,3.7995,(C-C motif) ligand 1
6354_at,3.3915,(C-C motif) ligand 7
6355_at,3.5448,(C-C motif) ligand 8
6362_at,3.5604,(C-C motif) ligand 18 (pulmonary and activation-regulated)
6363_at,3.493,(C-C motif) ligand 19
6368_at,3.4664,(C-C motif) ligand 23
6373_at,3.5981,(C-X-C motif) ligand 11
6387_at,3.6861,(C-X-C motif) ligand 12
63895_at,3.9403,piezo-type mechanosensitive ion channel component 2
63904_at,3.5857,dual specificity phosphatase 21
63914_at,3.452,chromosome 6 open reading frame 164
63923_at,3.8005,tenascin N
63934_at,3.5881,zinc finger protein 667
63946_at,3.7231,DMRT-like family C2
63951_at,3.6562,DMRT-like family A1
63973_at,3.6366,neurogenin 2
63982_at,3.6346,anoctamin 3
640_at,3.5901,B lymphoid tyrosine kinase
64002_at,3.2791,prostate-specific transcript 1 (non-protein coding)
64005_at,3.8582,myosin IG
6401_at,3.2633,E
6406_at,3.6861,I
64066_at,3.9423,matrix metallopeptidase 27
64067_at,3.6807,neuronal PAS domain protein 3
6407_at,3.5523,II
64078_at,3.8566,"solute carrier family 28 (sodium-coupled nucleoside transporter), member 3"
64091_at,3.5298,popeye domain containing 2
64092_at,3.8172,"SAM domain, SH3 domain and nuclear localization signals 1"
64096_at,3.6097,GDNF family receptor alpha 4
64102_at,3.5112,tenomodulin
64111_at,3.5211,neuropeptide VF precursor
64122_at,3.5291,fructosamine 3 kinase
64123_at,3.4614,"EGF, latrophilin and seven transmembrane domain containing 1"
64131_at,3.4657,xylosyltransferase I
641339_at,3.5436,zinc finger protein 674
641365_at,3.374,uncharacterized LOC641365
64137_at,3.8344,"ATP-binding cassette, sub-family G (WHITE), member 4"
641384_at,3.6772,transmembrane protein 75
641467_at,3.4803,uncharacterized LOC641467
641518_at,3.641,uncharacterized LOC641518
64168_at,3.5045,N-terminal EF-hand calcium binding protein 1
64180_at,3.8898,dipeptidase 3
64184_at,3.3079,epididymal protein 3B
642280_at,3.8135,"zinc finger protein 876, pseudogene"
6423_at,3.753,frizzled-related protein 2
64231_at,3.9721,"membrane-spanning 4-domains, subfamily A, member 6A"
64232_at,3.7138,"membrane-spanning 4-domains, subfamily A, member 5"
642345_at,3.8343,MIR4500 host gene (non-protein coding)
6424_at,3.8592,frizzled-related protein 4
64240_at,3.4442,"ATP-binding cassette, sub-family G (WHITE), member 5"
6425_at,3.9715,frizzled-related protein 5
642559_at,3.4092,POU class 5 homeobox 1 pseudogene 3
642597_at,3.5914,chromosome 18 open reading frame 42
642636_at,3.429,RAD21-like 1 (S. pombe)
642696_at,3.6139,hCG1983896
642864_at,3.4907,spermatogenesis-related protein 7
642938_at,3.4731,"family with sequence similarity 196, member A"
642976_at,3.3087,GRIK1 antisense RNA 1 (non-protein coding)
642987_at,3.2766,transmembrane protein 232
643_at,3.7599,chemokine (C-X-C motif) receptor 5
643037_at,3.52,uncharacterized LOC643037
64321_at,3.4789,SRY (sex determining region Y)-box 17
643355_at,3.6709,uncharacterized LOC643355
643677_at,3.4918,coiled-coil domain containing 168
643714_at,3.625,uncharacterized LOC643714
643763_at,3.3541,uncharacterized LOC643763
643783_at,3.5412,uncharacterized LOC643783
64388_at,3.6165,gremlin 2
643923_at,3.886,uncharacterized LOC643923
64399_at,3.5338,hedgehog interacting protein
64407_at,3.4489,regulator of G-protein signaling 18
644135_at,3.3132,uncharacterized LOC644135
644139_at,3.6403,phosphoinositide-interacting regulator of transient receptor potential channels
6442_at,3.6875,alpha (50kDa dystrophin-associated glycoprotein)
6444_at,3.8262,delta (35kDa dystrophin-associated glycoprotein)
64446_at,3.7933,"dynein, axonemal, intermediate chain 2"
6445_at,3.8093,gamma (35kDa dystrophin-associated glycoprotein)
64478_at,3.6937,CUB and Sushi multiple domains 1
645090_at,3.7236,chromosome X open reading frame 30
6451_at,3.971,domain binding glutamic acid-rich protein like
64518_at,3.629,tektin 3
645188_at,3.5234,uncharacterized LOC645188
645321_at,3.4135,uncharacterized LOC645321
645323_at,3.9526,long intergenic non-protein coding RNA 461
645355_at,3.6478,uncharacterized LOC645355
645591_at,3.5656,uncharacterized LOC645591
6456_at,3.4502,GRB2-like 2
645682_at,3.4605,POU class 5 homeobox 1 pseudogene 4
64577_at,3.544,"aldehyde dehydrogenase 8 family, member A1"
645784_at,3.5337,ankyrin repeat domain 36B pseudogene 2
6459_at,3.718,GRB2-like 1 pseudogene 2
64593_at,3.8341,"RNA binding motif protein, Y-linked, family 3, member A pseudogene"
64600_at,3.9345,"phospholipase A2, group IIF"
646113_at,3.7955,uncharacterized LOC646113
646168_at,3.3024,uncharacterized LOC646168
646268_at,3.7103,hCG1654703
646282_at,3.9519,"alpha-2-glycoprotein 1, zinc-binding pseudogene 1"
646329_at,3.7229,uncharacterized LOC646329
64641_at,3.7336,early B-cell factor 2
646576_at,3.9554,uncharacterized LOC646576
646600_at,3.6984,chromosome 3 open reading frame 65
64693_at,3.9738,cutaneous T-cell lymphoma-associated antigen 1
646982_at,3.8963,tubulin tyrosine ligase
647107_at,3.8632,uncharacterized LOC647107
647288_at,3.887,"CTAGE family, member 11, pseudogene"
647309_at,3.8757,geminin coiled-coil domain containing
647323_at,3.671,uncharacterized LOC647323
6476_at,3.3097,(alpha-glucosidase)
6480_at,3.7875,"beta-galactosamide alpha-2,6-sialyltranferase 1"
64800_at,3.7263,EF-hand calcium binding domain 6
64805_at,3.5647,"purinergic receptor P2Y, G-protein coupled, 12"
64816_at,3.9236,"cytochrome P450, family 3, subfamily A, polypeptide 43"
64850_at,3.6336,alanine-glyoxylate aminotransferase 2-like 1
648691_at,3.7898,uncharacterized LOC648691
64881_at,3.6534,protocadherin 20
6489_at,3.3763,"alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1"
64919_at,3.9091,B-cell CLL/lymphoma 11B (zinc finger protein)
64922_at,3.772,leucine rich repeat containing 19
6504_at,3.8524,lymphocytic activation molecule family member 1
6506_at,3.5317,"carrier family 1 (glial high affinity glutamate transporter), member 2"
650662_at,3.3324,NA
651_at,3.8345,bone morphogenetic protein 3
6514_at,3.8255,"carrier family 2 (facilitated glucose transporter), member 2"
6517_at,3.8387,"carrier family 2 (facilitated glucose transporter), member 4"
65217_at,3.491,protocadherin-related 15
6523_at,3.9727,"carrier family 5 (sodium/glucose cotransporter), member 1"
6529_at,3.4959,"carrier family 6 (neurotransmitter transporter, GABA), member 1"
652972_at,3.8171,chromosome 9 open reading frame 29
6532_at,3.7639,"carrier family 6 (neurotransmitter transporter, serotonin), member 4"
653240_at,3.5713,keratin associated protein 4-11
653390_at,3.5107,RNA polymerase I transcription factor homolog (S. cerevisiae) pseudogene 2
653739_at,3.9137,uncharacterized LOC653739
653808_at,3.9788,zymogen granule protein 16 homolog (rat)
6545_at,3.9646,"carrier family 7 (orphan transporter), member 4"
6549_at,3.8476,"carrier family 9 (sodium/hydrogen exchanger), member 2"
6550_at,3.5381,"carrier family 9 (sodium/hydrogen exchanger), member 3"
6555_at,3.6926,"carrier family 10 (sodium/bile acid cotransporter family), member 2"
6557_at,3.3508,"carrier family 12 (sodium/potassium/chloride transporters), member 1"
6559_at,3.8206,"carrier family 12 (sodium/chloride transporters), member 3"
6561_at,3.312,"carrier family 13 (sodium/sulfate symporters), member 1"
6563_at,3.424,"carrier family 14 (urea transporter), member 1 (Kidd blood group)"
6570_at,3.797,"carrier family 18 (vesicular monoamine), member 1"
6571_at,3.697,"carrier family 18 (vesicular monoamine), member 2"
6572_at,3.7233,"carrier family 18 (vesicular acetylcholine), member 3"
6579_at,3.6566,"carrier organic anion transporter family, member 1A2"
6580_at,3.6263,"carrier family 22 (organic cation transporter), member 1"
6586_at,3.6104,homolog 3 (Drosophila)
660_at,3.6824,BMX non-receptor tyrosine kinase
6641_at,3.9682,"beta 1 (dystrophin-associated protein A1, 59kDa, basic component 1)"
6656_at,3.684,(sex determining region Y)-box 1
6658_at,3.5205,(sex determining region Y)-box 3
6660_at,3.8029,(sex determining region Y)-box 5
6664_at,3.7125,(sex determining region Y)-box 11
6688_at,3.8436,focus forming virus (SFFV) proviral integration oncogene spi1
6690_at,3.5493,"peptidase inhibitor, Kazal type 1"
6693_at,3.8683,
6698_at,3.7033,proline-rich protein 1A
6702_at,3.8,proline-rich protein 2C (pseudogene)
6707_at,3.7709,proline-rich protein 3
671_at,3.8193,bactericidal/permeability-increasing protein
6718_at,3.4775,"reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)"
6725_at,3.6478,kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites
6736_at,3.4353,determining region Y
6751_at,3.6799,receptor 1
6754_at,3.8876,receptor 4
6755_at,3.7589,receptor 5
6756_at,3.3555,"sarcoma, X breakpoint 1"
6758_at,3.7557,"sarcoma, X breakpoint 5"
676_at,3.8327,"bromodomain, testis-specific"
6770_at,3.8556,acute regulatory protein
677769_at,3.9384,small Cajal body-specific RNA 17
677779_at,3.5402,long intergenic non-protein coding RNA 488
6779_at,3.5041,
6783_at,3.6644,"family 1E, estrogen-preferring, member 1"
6792_at,3.6151,kinase-like 5
680_at,3.5386,bombesin-like receptor 3
6822_at,3.6669,"family, cytosolic, 2A, dehydroepiandrosterone (DHEA)-preferring, member 1"
683_at,3.6408,bone marrow stromal cell antigen 1
6847_at,3.7042,complex protein 1
685_at,3.8971,betacellulin
6860_at,3.6403,IV
6861_at,3.7966,V
6863_at,3.2701,precursor 1
6865_at,3.7277,receptor 2
6869_at,3.9261,receptor 1
6870_at,3.9474,receptor 3
6887_at,3.9577,acute lymphocytic leukemia 2
6898_at,3.765,aminotransferase
6900_at,3.699,2 (axonal)
6906_at,3.9492,"peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 7"
6910_at,3.8389,5
6932_at,3.941,"factor 7 (T-cell specific, HMG-box)"
6943_at,3.8844,factor 21
6956_at,3.5716,cell receptor alpha variable 6
6975_at,3.7069,beta
6991_at,3.6871,3
6999_at,3.9207,"2,3-dioxygenase"
7010_at,3.973,"tyrosine kinase, endothelial"
7018_at,3.764,
7021_at,3.7142,factor AP-2 beta (activating enhancer binding protein 2 beta)
7031_at,3.9786,factor 1
7032_at,3.6208,factor 2
7044_at,3.935,determination factor 2
7047_at,3.7114,4 (prostate)
7053_at,3.6549,"3 (E polypeptide, protein-glutamine-gamma-glutamyltransferase)"
7054_at,3.7878,hydroxylase
7066_at,3.7107,
7069_at,3.8976,hormone responsive
7075_at,3.8564,kinase with immunoglobulin-like and EGF-like domains 1
7091_at,3.7493,"enhancer of split 4 (E(sp1) homolog, Drosophila)"
7092_at,3.8516,1
7093_at,3.9514,2
7099_at,3.6901,receptor 4
7103_at,3.5613,8
712_at,3.7556,"complement component 1, q subcomponent, A chain"
7122_at,3.8311,5
7123_at,3.7653,"lectin domain family 3, member B"
713_at,3.8991,"complement component 1, q subcomponent, B chain"
7130_at,3.8767,"necrosis factor, alpha-induced protein 6"
7135_at,3.6597,"I type 1 (skeletal, slow)"
714_at,3.8227,"complement component 1, q subcomponent, C chain"
7141_at,3.9048,protein 1 (during histone to protamine replacement)
7142_at,3.6908,protein 2 (during histone to protamine replacement)
7143_at,3.9666,"R (restrictin, janusin)"
7166_at,3.8985,hydroxylase 1
7173_at,3.6116,peroxidase
7179_at,3.3062,phosphatase with tensin homology
7180_at,3.6373,secretory protein 2
719_at,3.7702,complement component 3a receptor 1
7216_at,3.8033,
7222_at,3.6072,"receptor potential cation channel, subfamily C, member 3"
7223_at,3.692,"receptor potential cation channel, subfamily C, member 4"
7224_at,3.5059,"receptor potential cation channel, subfamily C, member 5"
7225_at,3.6069,"receptor potential cation channel, subfamily C, member 6"
7226_at,3.8968,"receptor potential cation channel, subfamily M, member 2"
7253_at,3.5309,stimulating hormone receptor
7273_at,3.6455,
727699_at,3.8811,long intergenic non-protein coding RNA 163
727924_at,3.3717,uncharacterized LOC727924
727944_at,3.9344,uncharacterized LOC727944
728012_at,3.8356,uncharacterized LOC728012
728052_at,3.4395,uncharacterized LOC728052
728081_at,3.4479,long intergenic non-protein coding RNA 290
728084_at,3.7437,uncharacterized LOC728084
728175_at,3.694,uncharacterized LOC728175
728215_at,3.6841,"family with sequence similarity 155, member A"
728279_at,3.5895,keratin associated protein 2-2
728361_at,3.8454,ovo-like 3 (Drosophila)
728606_at,3.9738,uncharacterized LOC728606
728621_at,3.6457,coiled-coil domain containing 30
7287_at,3.8101,like protein 1
728882_at,3.7193,"family with sequence similarity 182, member B"
729059_at,3.6777,uncharacterized LOC729059
729085_at,3.4115,"family with sequence similarity 198, member A"
729121_at,3.658,uncharacterized LOC729121
729230_at,3.9005,chemokine (C-C motif) receptor 2
729238_at,3.6608,surfactant protein A2
729296_at,3.5088,uncharacterized LOC729296
7293_at,3.938,"necrosis factor receptor superfamily, member 4"
729420_at,3.9685,uncharacterized LOC729420
729723_at,3.8135,DNAJC27 antisense RNA 1 (non-protein coding)
7299_at,3.7927,(oculocutaneous albinism IA)
729956_at,3.6403,shisa homolog 7 (Xenopus laevis)
729993_at,3.7928,shisa homolog 9 (Xenopus laevis)
7302_at,3.7167,protein tyrosine kinase pseudogene
730249_at,3.6313,immunoresponsive 1 homolog (mouse)
730441_at,3.9154,trypsin X3 pseudogene
7305_at,3.628,protein tyrosine kinase binding protein
7306_at,3.8092,protein 1
731_at,3.5728,"complement component 8, alpha polypeptide"
731223_at,3.5107,uncharacterized LOC731223
731424_at,3.6759,uncharacterized LOC731424
735_at,3.4249,complement component 9
7350_at,3.8539,"protein 1 (mitochondrial, proton carrier)"
7352_at,3.9201,"protein 3 (mitochondrial, proton carrier)"
7363_at,3.364,"glucuronosyltransferase 2 family, polypeptide B4"
7366_at,3.3954,"glucuronosyltransferase 2 family, polypeptide B15"
7367_at,3.9552,"glucuronosyltransferase 2 family, polypeptide B17"
7369_at,3.9603,
7373_at,3.6395,"type XIV, alpha 1"
7379_at,3.7286,2
7399_at,3.3834,"syndrome 2A (autosomal recessive, mild)"
7401_at,3.645,1
7404_at,3.6889,"transcribed tetratricopeptide repeat gene, Y-linked"
7412_at,3.7489,cell adhesion molecule 1
7429_at,3.57,1
7432_at,3.584,intestinal peptide
744_at,3.5064,metallophosphoesterase domain containing 2
7441_at,3.6147,lymphocyte 1
7450_at,3.8069,Willebrand factor
7471_at,3.6421,"MMTV integration site family, member 1"
7474_at,3.9176,"MMTV integration site family, member 5A"
7478_at,3.6531,"MMTV integration site family, member 8A"
7482_at,3.9007,"MMTV integration site family, member 2B"
7484_at,3.6305,"MMTV integration site family, member 9B"
750_at,3.8696,chromosome 16 open reading frame 3
7503_at,3.784,(inactive)-specific transcript (non-protein coding)
7512_at,3.8479,"aminopeptidase (aminopeptidase P) 2, membrane-bound"
752014_at,3.422,cementum protein 1
753_at,3.9317,chromosome 18 open reading frame 1
7544_at,3.5062,"finger protein, Y-linked"
7545_at,3.7499,family member 1
7551_at,3.8755,finger protein 3
7552_at,3.7207,finger protein 711
761_at,3.6029,"carbonic anhydrase III, muscle specific"
7620_at,3.8296,finger protein 69
7634_at,3.357,finger protein 80
7643_at,3.2372,finger protein 90
767_at,3.9578,carbonic anhydrase VIII
7704_at,3.7476,finger and BTB domain containing 16
7710_at,3.5306,finger protein 154
775_at,3.7169,"calcium channel, voltage-dependent, L type, alpha 1C subunit"
7757_at,3.5486,finger protein 208
776_at,3.7961,"calcium channel, voltage-dependent, L type, alpha 1D subunit"
7761_at,3.7008,finger protein 214
777_at,3.5537,"calcium channel, voltage-dependent, R type, alpha 1E subunit"
778_at,3.9582,"calcium channel, voltage-dependent, L type, alpha 1F subunit"
7782_at,3.8546,"carrier family 30 (zinc transporter), member 4"
779_at,3.6887,"calcium channel, voltage-dependent, L type, alpha 1S subunit"
780776_at,3.8717,"family with sequence similarity 18, member A"
7809_at,3.9601,"syndrome, infantile, with sensorineural deafness (Barttin)"
78997_at,3.7929,ganglioside-induced differentiation-associated protein 1-like 1
7903_at,3.7211,"alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4"
79037_at,3.8106,poliovirus receptor related immunoglobulin domain containing
79054_at,3.972,"transient receptor potential cation channel, subfamily M, member 8"
790952_at,3.5517,embryonic stem cell related (non-protein coding)
79097_at,3.4605,tripartite motif containing 48
79100_at,3.7317,uncharacterized LOC79100
791114_at,3.4385,Prader-Willi region non-protein coding RNA 1
791115_at,3.7534,Prader-Willi region non-protein coding RNA 2
79166_at,3.6457,leukocyte immunoglobulin-like receptor pseudogene 2
793_at,3.8325,"calbindin 1, 28kDa"
7932_at,3.7588,"receptor, family 2, subfamily H, member 2"
79339_at,3.9514,"olfactory receptor, family 51, subfamily B, member 4"
79368_at,3.5667,Fc receptor-like 2
7941_at,3.3834,"A2, group VII (platelet-activating factor acetylhydrolase, plasma)"
79442_at,3.7147,leucine rich repeat containing 2
79465_at,3.8621,UL16 binding protein 3
795_at,3.8015,S100 calcium binding protein G
7955_at,3.417,leukemia
79574_at,3.6926,EPS8-like 3
79589_at,3.8868,ring finger protein 128
79608_at,3.6652,resistance to inhibitors of cholinesterase 3 homolog (C. elegans)
79656_at,3.5831,BEN domain containing 5
797_at,3.4811,calcitonin-related polypeptide beta
79727_at,3.6909,lin-28 homolog A (C. elegans)
79740_at,3.7841,"zinc finger, B-box domain containing"
79747_at,3.7147,chromosome 6 open reading frame 103
79750_at,3.3433,zinc finger protein 385D
79782_at,3.7388,leucine rich repeat containing 31
79785_at,3.3834,RERG/RAS-like
79799_at,3.6139,"UDP glucuronosyltransferase 2 family, polypeptide A3"
79804_at,3.5182,Nbla00301
79805_at,3.9368,vasohibin 2
79816_at,3.9233,"transducin-like enhancer of split 6 (E(sp1) homolog, Drosophila)"
79819_at,3.8574,WD repeat domain 78
79820_at,3.8003,"cation channel, sperm-associated, beta"
79822_at,3.9053,Rho GTPase activating protein 28
79839_at,3.2216,coiled-coil domain containing 102B
79852_at,3.8746,epoxide hydrolase 3
79853_at,3.6403,transmembrane 4 L six family member 20
79857_at,3.6141,uncharacterized LOC79857
79861_at,3.8513,"tubulin, alpha-like 3"
79870_at,3.8942,"brain and acute leukemia, cytoplasmic"
79895_at,3.545,"ATPase, class I, type 8B, member 4"
799_at,3.9034,calcitonin receptor
79908_at,3.9706,butyrophilin-like 8
79931_at,3.5618,TNFAIP3 interacting protein 3
79948_at,3.6111,lipid phosphate phosphatase-related protein type 3
79949_at,3.5212,chromosome 10 open reading frame 81
79953_at,3.7583,synapse differentiation inducing 1
79973_at,3.7969,zinc finger protein 442
79983_at,3.8815,"premature ovarian failure, 1B"
8001_at,3.345,"receptor, alpha 3"
80034_at,3.8377,cysteine-serine-rich nuclear protein 3
80059_at,3.3768,leucine rich repeat transmembrane neuronal 4
80070_at,3.6142,"ADAM metallopeptidase with thrombospondin type 1 motif, 20"
80072_at,3.5957,chromosome 15 open reading frame 34
80086_at,3.8746,"tubulin, alpha 4b (pseudogene)"
80111_at,3.8231,chromosome 3 open reading frame 36
80129_at,3.8713,chromosome 6 open reading frame 97
80133_at,3.5191,chromosome 1 open reading frame 129
80157_at,3.2698,cell wall biogenesis 43 C-terminal homolog (S. cerevisiae)
80177_at,3.6165,myc target 1
80217_at,3.6523,WD repeat domain 96
80231_at,3.4287,chromosome X open reading frame 21
80243_at,3.7423,"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2"
80274_at,3.7852,"signal peptide, CUB domain, EGF-like 1"
8029_at,3.5921,(intrinsic factor-cobalamin receptor)
80316_at,3.7766,"protein phosphatase 1, regulatory (inhibitor) subunit 2 pseudogene 9"
80319_at,3.8539,CXXC finger protein 4
80341_at,3.8265,"BPI fold containing family B, member 2"
80342_at,3.7162,TRAF3 interacting protein 3
80343_at,3.8279,sel-1 suppressor of lin-12-like 2 (C. elegans)
80350_at,3.6897,"lipoprotein, Lp(a)-like 2, pseudogene"
8048_at,3.916,and glycine-rich protein 3 (cardiac LIM protein)
80705_at,3.7286,"testis specific, 10"
80731_at,3.8095,"thrombospondin, type I, domain containing 7B"
80736_at,3.8033,"solute carrier family 44, member 4"
80739_at,3.5147,chromosome 6 open reading frame 25
80760_at,3.8534,"inter-alpha-trypsin inhibitor heavy chain family, member 5"
80763_at,3.6563,chromosome 12 open reading frame 39
80816_at,3.6956,additional sex combs like 3 (Drosophila)
80832_at,3.9005,"apolipoprotein L, 4"
80834_at,3.9624,"taste receptor, type 1, member 2"
80835_at,3.9417,"taste receptor, type 1, member 1"
810_at,3.9276,calmodulin-like 3
81030_at,3.881,Z-DNA binding protein 1
81033_at,3.8338,"potassium voltage-gated channel, subfamily H (eag-related), member 6"
81035_at,3.5247,collectin sub-family member 12
